name,state,2013,2014,2015,2016,2017,2018,2019
Alabama,AL,0,0,0,0,0,1,1
Alaska,AK,0,0,0,0,0,0,0
Arizona,AZ,0,0,0,0,0,0,1
Arkansas,AR,0,0,0,0,0,0,0
California,CA,1,1,1,1,1,1,1
Colorado,CO,0,0,0,1,1,1,1
Connecticut,CT,0,0,0,0,0,0,0
Delaware,DE,1,1,1,1,1,1,1
District of Columbia,DC,0,0,0,0,0,0,0
Florida,FL,0,0,0,0,0,1,1
Georgia,GA,0,0,0,0,0,0,0
Hawaii,HI,0,0,0,0,0,0,0
Idaho,ID,0,0,0,0,0,0,0
Illinois,IL,1,1,0,0,0,0,1
Indiana,IN,0,0,0,0,0,0,0
Iowa,IA,0,0,0,1,1,1,1
Kansas,KS,0,0,0,0,0,0,0
Kentucky,KY,0,0,0,0,0,0,0
Louisiana,LA,0,0,0,0,0,0,0
Maine,ME,1,1,1,1,1,1,1
Maryland,MD,0,0,0,0,0,0,1
Massachusetts,MA,0,0,1,1,1,1,1
Michigan,MI,0,0,0,0,0,0,0
Minnesota,MN,0,1,1,1,1,0,0
Mississippi,MS,0,0,0,0,0,0,0
Missouri,MO,0,0,0,0,0,0,0
Montana,MT,0,0,0,0,0,0,0
Nebraska,NE,0,0,0,1,1,1,1
Nevada,NV,0,0,1,1,1,1,1
New Hampshire,NH,0,0,0,0,0,0,0
New Jersey,NJ,0,0,0,0,0,0,0
New Mexico,NM,0,0,1,0,0,0,0
New York,NY,0,0,1,1,1,1,1
North Carolina,NC,0,0,0,1,1,0,0
North Dakota,ND,0,0,0,0,0,0,0
Ohio,OH,0,0,0,0,0,0,0
Oklahoma,OK,0,0,0,0,0,0,0
Oregon,OR,0,0,0,0,0,0,0
Pennsylvania,PA,0,0,0,0,0,1,1
Rhode Island,RI,0,0,0,0,0,0,0
South Carolina,SC,0,0,0,0,0,0,0
South Dakota,SD,0,0,0,0,0,0,0
Tennessee,TN,0,0,0,0,1,1,1
Texas,TX,0,0,0,0,0,0,0
Utah,UT,0,0,0,0,0,0,0
Vermont,VT,0,1,1,1,1,1,1
Virginia,VA,0,1,1,1,1,1,1
Washington,WA,0,0,1,1,1,1,1
West Virginia,WV,0,0,0,0,0,1,1
Wisconsin,WI,0,1,1,1,1,1,1
Wyoming,WY,0,0,0,0,0,0,0
