state,legis_control,gov_party,state_control,year
Alabama,D,R,V,2010
Alaska,V,R,V,2010
Arizona,R,R,R,2010
Arkansas,D,D,D,2010
California,D,R,V,2010
Colorado,D,D,D,2010
Connecticut,D,R,V,2010
Delaware,D,D,D,2010
Florida,R,R,R,2010
Georgia,R,R,R,2010
Hawaii,D,R,V,2010
Idaho,R,R,R,2010
Illinois,D,D,D,2010
Indiana,V,R,V,2010
Iowa,D,D,D,2010
Kansas,R,D,V,2010
Kentucky,V,D,V,2010
Louisiana,D,R,V,2010
Maine,D,D,D,2010
Maryland,D,D,D,2010
Massachusetts,D,D,D,2010
Michigan,V,D,V,2010
Minnesota,D,R,V,2010
Mississippi,D,R,V,2010
Missouri,R,D,V,2010
Montana,V,D,V,2010
Nebraska,NA,R,NA,2010
Nevada,D,R,V,2010
New Hampshire,D,D,D,2010
New Jersey,D,R,V,2010
New Mexico,D,D,D,2010
New York,D,D,D,2010
North Carolina,D,D,D,2010
North Dakota,R,R,R,2010
Ohio,V,D,V,2010
Oklahoma,R,D,V,2010
Oregon,D,D,D,2010
Pennsylvania,V,D,V,2010
Rhode Island,D,R,V,2010
South Carolina,R,R,R,2010
South Dakota,R,R,R,2010
Tennessee,R,D,V,2010
Texas,R,R,R,2010
Utah,R,R,R,2010
Vermont,D,R,V,2010
Virginia,V,R,V,2010
Washington,D,D,D,2010
West Virginia,D,D,D,2010
Wisconsin,D,D,D,2010
Wyoming,R,D,V,2010
Alabama,R,R,R,2011
Alaska,V,R,V,2011
Arizona,R,R,R,2011
Arkansas,D,D,D,2011
California,D,D,D,2011
Colorado,V,D,V,2011
Connecticut,D,D,D,2011
Delaware,D,D,D,2011
Florida,R,R,R,2011
Georgia,R,R,R,2011
Hawaii,D,D,D,2011
Idaho,R,R,R,2011
Illinois,D,D,D,2011
Indiana,R,R,R,2011
Iowa,V,R,V,2011
Kansas,R,R,R,2011
Kentucky,V,D,V,2011
Louisiana,V,R,V,2011
Maine,R,R,R,2011
Maryland,D,D,D,2011
Massachusetts,D,D,D,2011
Michigan,R,R,R,2011
Minnesota,R,D,V,2011
Mississippi,D,R,V,2011
Missouri,R,D,V,2011
Montana,R,D,V,2011
Nebraska,NA,R,NA,2011
Nevada,D,R,V,2011
New Hampshire,R,D,V,2011
New Jersey,D,R,V,2011
New Mexico,D,R,V,2011
New York,V,D,V,2011
North Carolina,R,D,V,2011
North Dakota,R,R,R,2011
Ohio,R,R,R,2011
Oklahoma,R,R,R,2011
Oregon,V,D,V,2011
Pennsylvania,R,R,R,2011
Rhode Island,D,NA,V,2011
South Carolina,R,R,R,2011
South Dakota,R,R,R,2011
Tennessee,R,R,R,2011
Texas,R,R,R,2011
Utah,R,R,R,2011
Vermont,D,D,D,2011
Virginia,V,R,V,2011
Washington,D,D,D,2011
West Virginia,D,D,D,2011
Wisconsin,R,R,R,2011
Wyoming,R,R,R,2011
Alabama,R,R,R,2012
Alaska,V,R,V,2012
Arizona,R,R,R,2012
Arkansas,D,D,D,2012
California,D,D,D,2012
Colorado,V,D,V,2012
Connecticut,D,D,D,2012
Delaware,D,D,D,2012
Florida,R,R,R,2012
Georgia,R,R,R,2012
Hawaii,D,D,D,2012
Idaho,R,R,R,2012
Illinois,D,D,D,2012
Indiana,R,R,R,2012
Iowa,V,R,V,2012
Kansas,R,R,R,2012
Kentucky,V,D,V,2012
Louisiana,R,R,R,2012
Maine,R,R,R,2012
Maryland,D,D,D,2012
Massachusetts,D,D,D,2012
Michigan,R,R,R,2012
Minnesota,R,D,V,2012
Mississippi,R,R,R,2012
Missouri,R,D,V,2012
Montana,R,D,V,2012
Nebraska,NA,R,NA,2012
Nevada,D,R,V,2012
New Hampshire,R,D,V,2012
New Jersey,D,R,V,2012
New Mexico,D,R,V,2012
New York,V,D,V,2012
North Carolina,R,D,V,2012
North Dakota,R,R,R,2012
Ohio,R,R,R,2012
